Município;Região Administrativa
 Rubinéia;São José do Rio Preto
 Santa Albertina;São José do Rio Preto
 Santa Clara d'Oeste;São José do Rio Preto
 Santa Fé do Sul;São José do Rio Preto
 Santa Rita d'Oeste;São José do Rio Preto
 Santa Salete;São José do Rio Preto
 Santana da Ponte Pensa;São José do Rio Preto
 São Francisco;São José do Rio Preto
 Três Fronteiras;São José do Rio Preto
 Urânia;São José do Rio Preto
 Vitória Brasil;São José do Rio Preto
 Adolfo;São José do Rio Preto
 Bady Bassitt;São José do Rio Preto
 Bálsamo;São José do Rio Preto
 Cedral;São José do Rio Preto
 Guapiaçu;São José do Rio Preto
 Ibirá;São José do Rio Preto
 Icém;São José do Rio Preto
 Ipiguá;São José do Rio Preto
 Jaci;São José do Rio Preto
 José Bonifácio;São José do Rio Preto
 Mendonça;São José do Rio Preto
 Mirassol;São José do Rio Preto
 Mirassolândia;São José do Rio Preto
 Monte Aprazível;São José do Rio Preto
 Neves Paulista;São José do Rio Preto
 Nipoã;São José do Rio Preto
 Nova Aliança;São José do Rio Preto
 Nova Granada;São José do Rio Preto
 Onda Verde;São José do Rio Preto
 Orindiúva;São José do Rio Preto
 Palestina;São José do Rio Preto
 Paulo de Faria;São José do Rio Preto
 Planalto;São José do Rio Preto
 Poloni;São José do Rio Preto
 Potirendaba;São José do Rio Preto
 São José do Rio Preto;São José do Rio Preto
 Tanabi;São José do Rio Preto
 Ubarana;São José do Rio Preto
 Uchoa;São José do Rio Preto
 União Paulista;São José do Rio Preto
 Zacarias;São José do Rio Preto
 Álvares Florence;São José do Rio Preto
 Américo de Campos;São José do Rio Preto
 Cardoso;São José do Rio Preto
 Cosmorama;São José do Rio Preto
 Floreal;São José do Rio Preto
 Macaubal;São José do Rio Preto
 Magda;São José do Rio Preto
 Monções;São José do Rio Preto
 Nhandeara;São José do Rio Preto
 Parisi;São José do Rio Preto
 Pontes Gestal;São José do Rio Preto
 Riolândia;São José do Rio Preto
 Sebastianópolis do Sul;São José do Rio Preto
 Valentim Gentil;São José do Rio Preto
 Votuporanga;São José do Rio Preto
 Andradina;Araçatuba
 Castilho;Araçatuba
 Guaraçaí;Araçatuba
 Ilha Solteira;Araçatuba
 Itapura;Araçatuba
 Lavínia;Araçatuba
 Mirandópolis;Araçatuba
 Murutinga do Sul;Araçatuba
 Nova Independência;Araçatuba
 Pereira Barreto;Araçatuba
 Sud Mennucci;Araçatuba
 Suzanápolis;Araçatuba
 Alto Alegre;Araçatuba
 Araçatuba;Araçatuba
 Auriflama;Araçatuba
 Avanhandava;Araçatuba
 Barbosa;Araçatuba
 Bento de Abreu;Araçatuba
 Bilac;Araçatuba
 Birigui;Araçatuba
 Braúna;Araçatuba
 Brejo Alegre;Araçatuba
 Buritama;Araçatuba
 Clementina;Araçatuba
 Coroados;Araçatuba
 Gabriel Monteiro;Araçatuba
 Gastão Vidigal;Araçatuba
 General Salgado;Araçatuba
 Glicério;Araçatuba
 Guararapes;Araçatuba
 Guzolândia;Araçatuba
 Lourdes;Araçatuba
 Luiziânia;Araçatuba
 Nova Castilho;Araçatuba
 Nova Luzitânia;Araçatuba
 Penápolis;Araçatuba
 Piacatu;Araçatuba
 Rubiácea;Araçatuba
 Santo Antônio do Aracanguá;Araçatuba
 Santópolis do Aguapeí;Araçatuba
 São João de Iracema;Araçatuba
 Turiúba;Araçatuba
 Valparaíso;Araçatuba
 Adamantina;Presidente Prudente
 Flora Rica;Presidente Prudente
 Flórida Paulista;Presidente Prudente
 Inúbia Paulista;Presidente Prudente
 Irapuru;Presidente Prudente
 Lucélia;Presidente Prudente
 Mariápolis;Presidente Prudente
 Osvaldo Cruz;Presidente Prudente
 Pacaembu;Presidente Prudente
 Pracinha;Presidente Prudente
 Sagres;Presidente Prudente
 Salmourão;Presidente Prudente
 Dracena;Presidente Prudente
 Junqueirópolis;Presidente Prudente
 Monte Castelo;Presidente Prudente
 Nova Guataporanga;Presidente Prudente
 Ouro Verde;Presidente Prudente
 Panorama;Presidente Prudente
 Paulicéia;Presidente Prudente
 Santa Mercedes;Presidente Prudente
 São João do Pau-d'Alho;Presidente Prudente
 Tupi Paulista;Presidente Prudente
 Alfredo Marcondes;Presidente Prudente
 Álvares Machado;Presidente Prudente
 Anhumas;Presidente Prudente
 Caiabu;Presidente Prudente
 Caiuá;Presidente Prudente
 Emilianópolis;Presidente Prudente
 Estrela do Norte;Presidente Prudente
 Euclides da Cunha Paulista;Presidente Prudente
 Iepê;Presidente Prudente
 Indiana;Presidente Prudente
 Marabá Paulista;Presidente Prudente
